"Nombre de imagen","PID","Nombre de sesión","Núm. de sesión","Uso de memoria","Estado","Nombre de usuario","Tiempo de CPU","Título de ventana"
"System Idle Process","0","Services","0","8 KB","Unknown","NT AUTHORITY\SYSTEM","0:35:56","N/D"
"System","4","Services","0","3.560 KB","Unknown","N/D","0:00:27","N/D"
"Secure System","48","Services","0","15.384 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"Registry","68","Services","0","30.684 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/D"
"smss.exe","452","Services","0","1.304 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"csrss.exe","564","Services","0","4.752 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"csrss.exe","640","Console","1","4.804 KB","Running","NT AUTHORITY\SYSTEM","0:00:01","N/D"
"wininit.exe","656","Services","0","5.488 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"winlogon.exe","704","Console","1","9.760 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"services.exe","776","Services","0","9.316 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:05","N/D"
"lsass.exe","800","Services","0","26.020 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:05","N/D"
"svchost.exe","908","Services","0","23.804 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/D"
"fontdrvhost.exe","928","Services","0","3.068 KB","Unknown","Font Driver Host\UMFD-0","0:00:00","N/D"
"fontdrvhost.exe","936","Console","1","17.520 KB","Unknown","Font Driver Host\UMFD-1","0:00:03","N/D"
"svchost.exe","1016","Services","0","13.168 KB","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:05","N/D"
"svchost.exe","480","Services","0","8.820 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"dwm.exe","920","Console","1","91.712 KB","Not Responding","Window Manager\DWM-1","0:00:53","Administrador de tareas (No responde)"
"svchost.exe","1060","Services","0","9.904 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","1088","Services","0","4.044 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","1136","Services","0","4.528 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","1172","Services","0","7.192 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"svchost.exe","1268","Services","0","9.968 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","1324","Services","0","8.056 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"svchost.exe","1344","Services","0","15.800 KB","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:01","N/D"
"svchost.exe","1368","Services","0","16.996 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/D"
"svchost.exe","1416","Services","0","8.776 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","1504","Services","0","16.692 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:04","N/D"
"svchost.exe","1584","Services","0","11.404 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/D"
"vmms.exe","1656","Services","0","36.120 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","1764","Services","0","42.656 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:06","N/D"
"svchost.exe","1800","Services","0","12.112 KB","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:02","N/D"
"svchost.exe","1964","Services","0","12.872 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","1992","Services","0","7.140 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"svchost.exe","2020","Services","0","11.812 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"svchost.exe","1460","Services","0","4.996 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"svchost.exe","1132","Services","0","12.336 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:05","N/D"
"svchost.exe","1780","Services","0","6.736 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"svchost.exe","2120","Services","0","17.860 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:01","N/D"
"svchost.exe","2136","Services","0","7.136 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"svchost.exe","2144","Services","0","4.572 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","2252","Services","0","6.112 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","2316","Services","0","7.584 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
